playlist_id,creator_username,title,number_of_followers,description,image_url
1,13,Ergonomic secondary paradigm,7,target front-end convergence,http://dummyimage.com/136x100.png/5fa2dd/ffffff
2,25,Synergized hybrid flexibility,8,utilize 24/7 ROI,http://dummyimage.com/116x100.png/ff4444/ffffff
3,17,Right-sized intermediate hierarchy,14,leverage mission-critical web services,http://dummyimage.com/223x100.png/ff4444/ffffff
4,20,Seamless eco-centric application,13,matrix virtual initiatives,http://dummyimage.com/117x100.png/ff4444/ffffff
5,16,Exclusive intermediate core,30,e-enable wireless applications,http://dummyimage.com/248x100.png/5fa2dd/ffffff
6,19,Open-architected zero administration moratorium,2,embrace back-end action-items,http://dummyimage.com/196x100.png/5fa2dd/ffffff
7,26,Secured optimizing adapter,10,extend plug-and-play metrics,http://dummyimage.com/225x100.png/dddddd/000000
8,19,Re-contextualized optimal leverage,19,engineer intuitive bandwidth,http://dummyimage.com/225x100.png/cc0000/ffffff
9,23,Expanded reciprocal definition,21,enhance front-end applications,http://dummyimage.com/240x100.png/cc0000/ffffff
10,5,Persevering multi-state protocol,21,target B2C networks,http://dummyimage.com/213x100.png/5fa2dd/ffffff
11,13,Exclusive needs-based attitude,27,integrate e-business experiences,http://dummyimage.com/155x100.png/cc0000/ffffff
12,27,Profound zero defect paradigm,22,morph one-to-one models,http://dummyimage.com/239x100.png/dddddd/000000
13,23,Advanced coherent benchmark,4,evolve real-time content,http://dummyimage.com/220x100.png/cc0000/ffffff
14,8,Stand-alone impactful archive,22,streamline customized experiences,http://dummyimage.com/245x100.png/cc0000/ffffff
15,17,Function-based heuristic intranet,8,visualize magnetic niches,http://dummyimage.com/121x100.png/cc0000/ffffff
16,27,Managed mission-critical concept,18,synthesize bricks-and-clicks channels,http://dummyimage.com/231x100.png/5fa2dd/ffffff
17,27,Innovative client-driven local area network,3,synergize strategic e-business,http://dummyimage.com/160x100.png/ff4444/ffffff
18,28,Cross-group homogeneous definition,22,transform impactful methodologies,http://dummyimage.com/206x100.png/5fa2dd/ffffff
19,7,Universal intangible adapter,8,evolve cross-media web services,http://dummyimage.com/101x100.png/ff4444/ffffff
20,8,Cross-group dedicated approach,25,seize integrated e-commerce,http://dummyimage.com/126x100.png/5fa2dd/ffffff
21,18,Upgradable static neural-net,22,engineer dot-com interfaces,http://dummyimage.com/192x100.png/5fa2dd/ffffff
22,4,Pre-emptive solution-oriented installation,23,target extensible deliverables,http://dummyimage.com/113x100.png/ff4444/ffffff
23,4,Optional analyzing capacity,26,morph user-centric ROI,http://dummyimage.com/201x100.png/ff4444/ffffff
24,25,Organic next generation firmware,29,engage holistic schemas,http://dummyimage.com/115x100.png/dddddd/000000
25,23,Cross-group web-enabled complexity,10,reinvent intuitive e-markets,http://dummyimage.com/211x100.png/ff4444/ffffff
26,22,Managed mission-critical algorithm,19,matrix rich infrastructures,http://dummyimage.com/214x100.png/5fa2dd/ffffff
27,27,Triple-buffered client-driven benchmark,18,brand interactive functionalities,http://dummyimage.com/230x100.png/ff4444/ffffff
28,17,Adaptive context-sensitive groupware,11,innovate leading-edge models,http://dummyimage.com/211x100.png/ff4444/ffffff
29,27,Reduced zero defect project,4,maximize leading-edge niches,http://dummyimage.com/191x100.png/dddddd/000000
30,7,Organic empowering time-frame,17,engage customized supply-chains,http://dummyimage.com/115x100.png/ff4444/ffffff
31,23,Centralized 24/7 open system,8,seize cutting-edge convergence,http://dummyimage.com/153x100.png/dddddd/000000
32,3,Customizable exuding project,2,seize best-of-breed communities,http://dummyimage.com/177x100.png/5fa2dd/ffffff
33,3,Open-architected 24/7 functionalities,24,matrix distributed e-tailers,http://dummyimage.com/124x100.png/ff4444/ffffff
34,15,Ergonomic zero tolerance moderator,18,synthesize e-business platforms,http://dummyimage.com/147x100.png/cc0000/ffffff
35,21,Enhanced solution-oriented success,14,incubate dot-com systems,http://dummyimage.com/233x100.png/dddddd/000000
36,3,Front-line real-time moratorium,27,cultivate frictionless solutions,http://dummyimage.com/223x100.png/dddddd/000000
37,12,Multi-tiered systemic hardware,10,architect plug-and-play niches,http://dummyimage.com/157x100.png/ff4444/ffffff
38,15,Business-focused executive knowledge base,15,empower e-business synergies,http://dummyimage.com/222x100.png/5fa2dd/ffffff
39,8,Triple-buffered holistic collaboration,28,engineer innovative experiences,http://dummyimage.com/109x100.png/cc0000/ffffff
40,7,Adaptive static encryption,8,productize intuitive e-business,http://dummyimage.com/152x100.png/cc0000/ffffff
41,14,Down-sized multi-tasking emulation,16,evolve seamless architectures,http://dummyimage.com/122x100.png/cc0000/ffffff
42,26,Secured intermediate superstructure,10,redefine back-end e-markets,http://dummyimage.com/101x100.png/cc0000/ffffff
43,30,Grass-roots needs-based project,29,deliver end-to-end niches,http://dummyimage.com/103x100.png/dddddd/000000
44,20,Polarised tertiary extranet,5,innovate mission-critical functionalities,http://dummyimage.com/214x100.png/dddddd/000000
45,30,Virtual multi-tasking support,27,redefine ubiquitous bandwidth,http://dummyimage.com/137x100.png/cc0000/ffffff
46,8,Enterprise-wide bi-directional contingency,16,mesh proactive vortals,http://dummyimage.com/250x100.png/ff4444/ffffff
47,22,Public-key intangible help-desk,11,incubate visionary systems,http://dummyimage.com/186x100.png/ff4444/ffffff
48,25,Optimized zero administration complexity,8,envisioneer clicks-and-mortar schemas,http://dummyimage.com/249x100.png/5fa2dd/ffffff
49,29,Secured neutral middleware,19,brand plug-and-play paradigms,http://dummyimage.com/245x100.png/dddddd/000000
50,19,Switchable disintermediate circuit,22,synthesize synergistic supply-chains,http://dummyimage.com/188x100.png/ff4444/ffffff
51,16,Realigned tertiary contingency,18,reinvent bricks-and-clicks technologies,http://dummyimage.com/141x100.png/dddddd/000000
52,9,Re-contextualized national approach,17,recontextualize revolutionary content,http://dummyimage.com/177x100.png/dddddd/000000
53,18,Cross-group radical middleware,27,utilize vertical platforms,http://dummyimage.com/226x100.png/ff4444/ffffff
54,21,Innovative systemic success,4,facilitate sticky models,http://dummyimage.com/164x100.png/5fa2dd/ffffff
55,22,Realigned intermediate pricing structure,30,streamline intuitive schemas,http://dummyimage.com/177x100.png/cc0000/ffffff
56,10,Cross-group multi-state product,17,repurpose visionary networks,http://dummyimage.com/105x100.png/dddddd/000000
57,26,Seamless logistical open system,14,architect 24/365 infomediaries,http://dummyimage.com/176x100.png/ff4444/ffffff
58,16,Optional bandwidth-monitored hub,27,disintermediate world-class e-business,http://dummyimage.com/161x100.png/ff4444/ffffff
59,3,Open-architected national approach,11,redefine real-time models,http://dummyimage.com/175x100.png/ff4444/ffffff
60,16,Expanded full-range local area network,8,transition best-of-breed partnerships,http://dummyimage.com/209x100.png/dddddd/000000
61,22,Diverse scalable strategy,30,harness frictionless paradigms,http://dummyimage.com/142x100.png/ff4444/ffffff
62,30,Seamless bottom-line extranet,12,synergize frictionless relationships,http://dummyimage.com/155x100.png/cc0000/ffffff
63,16,Grass-roots high-level open architecture,2,redefine seamless architectures,http://dummyimage.com/188x100.png/dddddd/000000
64,25,User-friendly systemic info-mediaries,15,facilitate world-class solutions,http://dummyimage.com/147x100.png/ff4444/ffffff
65,12,Ergonomic directional methodology,5,architect 24/7 applications,http://dummyimage.com/192x100.png/dddddd/000000
66,1,Reduced systemic access,16,brand user-centric supply-chains,http://dummyimage.com/130x100.png/dddddd/000000
67,10,Synergized secondary algorithm,29,unleash bleeding-edge niches,http://dummyimage.com/208x100.png/dddddd/000000
68,22,Managed clear-thinking firmware,28,mesh real-time vortals,http://dummyimage.com/106x100.png/ff4444/ffffff
69,19,Up-sized 24 hour task-force,9,morph scalable functionalities,http://dummyimage.com/120x100.png/5fa2dd/ffffff
70,5,Distributed impactful hub,19,orchestrate turn-key bandwidth,http://dummyimage.com/156x100.png/5fa2dd/ffffff
71,12,Fully-configurable upward-trending website,13,redefine bleeding-edge e-tailers,http://dummyimage.com/201x100.png/5fa2dd/ffffff
72,27,Switchable logistical moderator,8,recontextualize one-to-one e-commerce,http://dummyimage.com/231x100.png/5fa2dd/ffffff
73,6,Distributed client-server complexity,7,mesh interactive mindshare,http://dummyimage.com/244x100.png/ff4444/ffffff
74,27,Synergistic systematic ability,17,envisioneer 24/365 e-tailers,http://dummyimage.com/104x100.png/dddddd/000000
75,17,Multi-tiered interactive methodology,7,grow cutting-edge systems,http://dummyimage.com/179x100.png/cc0000/ffffff
76,20,Enhanced mission-critical complexity,20,enhance turn-key functionalities,http://dummyimage.com/106x100.png/dddddd/000000
77,1,Cross-group modular hierarchy,8,reinvent robust convergence,http://dummyimage.com/236x100.png/5fa2dd/ffffff
78,16,Sharable empowering project,21,target visionary methodologies,http://dummyimage.com/121x100.png/ff4444/ffffff
79,17,Innovative context-sensitive artificial intelligence,21,brand holistic infrastructures,http://dummyimage.com/159x100.png/cc0000/ffffff
80,24,Upgradable tangible hierarchy,14,productize B2C systems,http://dummyimage.com/154x100.png/ff4444/ffffff
81,16,Progressive well-modulated infrastructure,14,empower proactive models,http://dummyimage.com/173x100.png/cc0000/ffffff
82,14,Monitored zero tolerance local area network,23,syndicate killer web-readiness,http://dummyimage.com/121x100.png/cc0000/ffffff
83,14,Persistent foreground success,12,facilitate front-end e-business,http://dummyimage.com/218x100.png/cc0000/ffffff
84,25,Cloned methodical local area network,7,repurpose extensible experiences,http://dummyimage.com/150x100.png/5fa2dd/ffffff
85,25,Operative empowering forecast,19,e-enable wireless bandwidth,http://dummyimage.com/217x100.png/dddddd/000000
86,19,Fully-configurable next generation database,5,facilitate leading-edge systems,http://dummyimage.com/175x100.png/dddddd/000000
87,1,Decentralized eco-centric middleware,23,streamline strategic e-commerce,http://dummyimage.com/171x100.png/dddddd/000000
88,19,Customizable heuristic alliance,12,optimize B2B content,http://dummyimage.com/206x100.png/5fa2dd/ffffff
89,5,Open-architected motivating policy,13,synthesize synergistic networks,http://dummyimage.com/142x100.png/ff4444/ffffff
90,27,Public-key transitional groupware,25,deliver cross-platform e-tailers,http://dummyimage.com/244x100.png/5fa2dd/ffffff
91,28,Public-key disintermediate analyzer,14,syndicate wireless communities,http://dummyimage.com/238x100.png/dddddd/000000
92,27,Monitored motivating collaboration,6,reinvent strategic technologies,http://dummyimage.com/170x100.png/cc0000/ffffff
93,29,Enhanced multi-tasking challenge,29,e-enable customized web services,http://dummyimage.com/190x100.png/5fa2dd/ffffff
94,19,Quality-focused intermediate database,16,whiteboard scalable infrastructures,http://dummyimage.com/215x100.png/cc0000/ffffff
95,4,Face to face modular monitoring,11,utilize one-to-one e-commerce,http://dummyimage.com/163x100.png/5fa2dd/ffffff
96,10,Mandatory non-volatile circuit,1,optimize customized infrastructures,http://dummyimage.com/173x100.png/5fa2dd/ffffff
97,9,Face to face value-added firmware,9,extend next-generation e-markets,http://dummyimage.com/107x100.png/ff4444/ffffff
98,27,Enterprise-wide fault-tolerant strategy,13,synthesize web-enabled convergence,http://dummyimage.com/103x100.png/cc0000/ffffff
99,22,Decentralized fault-tolerant solution,23,drive cross-media users,http://dummyimage.com/217x100.png/ff4444/ffffff
100,14,Optional web-enabled superstructure,27,disintermediate vertical vortals,http://dummyimage.com/184x100.png/5fa2dd/ffffff
